CNAE;RAT;FPAS;Descrição da atividade
329900;1,00%;507;Fabricação de painéis e letreiros luminos os
329900;1,00%;507;Fabricação de aviamentos para costura
329909;1,00%;507;Fabricação de produtos diversos não espec ificados anteriormente
331120;1,00%;507;Manutenção e reparação de tanques, reserv atórios metálicos e caldeiras,
331210;1,00%;507;Manutenção e reparação de equipamentos tr ansmissores de comunicação
331210;1,00%;507;Manutenção e reparação de aparelhos e ins trumentos de medida, teste e
331210;1,00%;507;Manutenção e reparação de aparelhos eletr omédicos e eletroterapêuticos e
331210;1,00%;507;Manutenção e reparação de equipamentos e instrumentos ópticos
331390;1,00%;507;Manutenção e reparação de geradores, tran sformadores e motores elétricos
331390;1,00%;507;Manutenção e reparação de baterias e acum uladores elétricos, exceto para
331399;1,00%;507;Manutenção e reparação de máquinas, apare lhos e materiais elétricos não
331470;1,00%;507;Manutenção e reparação de máquinas motriz es não-elétricas
331470;1,00%;507;Manutenção e reparação de equipamentos hi dráulicos e pneumáticos, exceto
331470;1,00%;507;Manutenção e reparação de válvulas indust riais
331470;1,00%;507;Manutenção e reparação de compressores
331470;1,00%;507;Manutenção e reparação de equipamentos de  transmissão para fins
331470;1,00%;507;Manutenção e reparação de máquinas, apare lhos e equipamentos para
331470;1,00%;507;Manutenção e reparação de máquinas e apar elhos de refrigeração e
331470;1,00%;507;Manutenção e reparação de máquinas, equip amentos e aparelhos para
331470;1,00%;507;Manutenção e reparação de máquinas de esc rever, calcular e de outros
331471;1,00%;507;Manutenção e reparação de máquinas e equi pamentos para uso geral não
331471;1,00%;507;Manutenção e reparação de máquinas e equi pamentos para agricultura e
331471;1,00%;507;Manutenção e reparação de tratores agríco las
331471;1,00%;507;Manutenção e reparação de máquinas-ferram enta
331471;1,00%;507;Manutenção e reparação de máquinas e equi pamentos para a prospecção e
331471;1,00%;507;Manutenção e reparação de máquinas e equi pamentos para uso na extração
331471;1,00%;507;Manutenção e reparação de tratores, excet o agrícolas
331471;1,00%;507;Manutenção e reparação de máquinas e equi pamentos de terraplenagem,
331471;1,00%;507;Manutenção e reparação de máquinas para a  indústria metalúrgica, exceto
331471;1,00%;507;Manutenção e reparação de máquinas e equi pamentos para as indústrias de
331472;1,00%;507;Manutenção e reparação de máquinas e equi pamentos para a indústria têxtil,
331472;1,00%;507;Manutenção e reparação de máquinas e apar elhos para a indústria de
331472;1,00%;507;Manutenção e reparação de máquinas e apar elhos para a indústria do
331479;1,00%;507;Manutenção e reparação de outras máquinas  e equipamentos para usos
331550;1,00%;507;Manutenção e reparação de veículos ferrov iários
331980;1,00%;507;Manutenção e reparação de equipamentos e produtos não especificados
332100;2,00%;507;Instalação de máquinas e equipamentos ind ustriais
332950;2,00%;507;Serviços de montagem de móveis de qualque r material
332959;2,00%;507;Instalação de outros equipamentos não esp ecificados anteriormente
351150;2,00%;507;Geração de energia elétrica
351230;2,00%;507;Transmissão de energia elétrica
351310;2,00%;507;Comércio atacadista de energia elétrica
351400;2,00%;507;Distribuição de energia elétrica
352040;1,00%;507;"Produção de gás; processamento de gás nat ural"
353010;1,00%;507;Produção e distribuição de vapor, água qu ente e ar condicionado
360060;2,00%;507;Captação, tratamento e distribuição de ág ua
